[0809/125453.589:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x101c001b9000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125534.249:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:488] GPU state invalid after WaitForGetOffsetInRange.
[0809/125546.844:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125546.944:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125546.966:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125546.979:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fac001b4a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125638.673:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125638.788:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125638.802:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125638.815:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x49f4001ae200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125700.875:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125700.980:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125700.994:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125701.005:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5cc400b78000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/125811.431:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125811.539:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125811.553:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/125811.573:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4fb400b2c800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/133010.062:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/133010.168:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/133010.183:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/133010.195:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5d1c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/140335.669:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x336400b09200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140335.793:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x336400b09200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140335.818:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x336400b09200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140335.829:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x336400b09200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/140512.454:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70bc00b0aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140512.555:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70bc00b0aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140512.577:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70bc00b0aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140512.588:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70bc00b0aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/140603.404:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x26fc001ac400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140603.505:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x26fc001ac400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140603.529:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x26fc001ac400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140603.539:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x26fc001ac400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/140743.569:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48cc001b6c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140743.672:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48cc001b6c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140743.690:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48cc001b6c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/140743.712:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x48cc001b6c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/141114.197:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141114.329:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141114.352:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141114.370:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x684001abe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/141129.207:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:488] GPU state invalid after WaitForGetOffsetInRange.
[0809/141153.470:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2400b8d800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141153.574:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2400b8d800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141153.601:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2400b8d800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141153.612:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2400b8d800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/141503.957:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4bfc00c34c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141504.072:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4bfc00c34c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141504.089:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4bfc00c34c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/141504.105:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4bfc00c34c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/142022.009:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c00baf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/142022.121:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c00baf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/142022.140:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c00baf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/142022.162:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x147c00baf600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/143529.180:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x287400be8c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/143529.295:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x287400be8c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/143529.312:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x287400be8c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/143529.325:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x287400be8c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/144246.997:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x75e400b2ce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144247.100:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x75e400b2ce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144247.125:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x75e400b2ce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144247.137:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x75e400b2ce00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/144603.293:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x196c001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144603.391:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x196c001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144603.402:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x196c001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144603.411:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x196c001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/144641.477:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7d24001b1000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144641.574:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7d24001b1000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
